address,zipcode,lat,lng,beds,price,Restau,crime,scaleprice,scalefood,scalecrime
1465 Willingham Dr,30344,33.668503,-84.436714,0,22000,482,27,-0.6755147405422888,-0.49904276286122884,-1.218476266658669
235 Fairburn Rd NW,30331,33.761696,-84.503334,3,20000,49,6204,-0.6780554014012444,-1.504221276228307,0.7996153408319794
Monica Ct,30311,33.7238,-84.4745,0,25000,171,5201,-0.6717037492538551,-1.2210070068731487,0.4719245714757999
1405 Oakland Dr SW,30310,33.716595,-84.42783,0,29900,630,6915,-0.6654791301494136,-0.15547135413529914,1.0319066040545553
2990 Stone Rd,30344,33.66683,-84.4866,0,24900,482,27,-0.6718307822968029,-0.49904276286122884,-1.218476266658669
2990 Stone Rd #4,30344,33.666836000000004,-84.48661,0,24900,482,27,-0.6718307822968029,-0.49904276286122884,-1.218476266658669
Sweetbriar Cir #11,30344,33.6753,-84.4552,0,24900,482,27,-0.6718307822968029,-0.49904276286122884,-1.218476266658669
Sweetbriar Cir #13,30344,33.6753,-84.4552,0,24900,482,27,-0.6718307822968029,-0.49904276286122884,-1.218476266658669
Sweetbriar Cir #12,30344,33.6753,-84.4552,0,24900,482,27,-0.6718307822968029,-0.49904276286122884,-1.218476266658669
16 Conley Rd,30354,33.6425,-84.388985,0,29998,449,1621,-0.6653546377673247,-0.5756499012933618,-0.6976995105731756
4089 Waits Ave SW #32,30331,33.693214,-84.523254,0,22500,49,6204,-0.6748795753275498,-1.504221276228307,0.7996153408319794
Hammarskjold Dr,30344,33.6752,-84.4553,0,29000,482,27,-0.6666224275359437,-0.49904276286122884,-1.218476266658669
770 Jefferson Ave SW,30315,33.68509,-84.41361,0,28000,361,6783,-0.6678927579654216,-0.7799356037790497,0.9887807999119673
4016 Melvin Dr SW,30331,33.707874,-84.51985,0,29900,49,6204,-0.6654791301494136,-1.504221276228307,0.7996153408319794
4012 Melvin Dr SW,30331,33.70785,-84.51953,0,29900,49,6204,-0.6654791301494136,-1.504221276228307,0.7996153408319794
Fairburn Ave,30331,33.7101,-84.5341,0,20000,49,6204,-0.6780554014012444,-1.504221276228307,0.7996153408319794
11 Baker Dr SW,30354,33.67667,-84.39466,3,30000,449,1621,-0.6653520971064658,-0.5756499012933618,-0.6976995105731756
5646 Boreal Way SW #101,30331,33.68767,-84.56708,0,30000,49,6204,-0.6653520971064658,-1.504221276228307,0.7996153408319794
5426 Boreal Way SW #213,30331,33.68927,-84.56315,0,35000,49,6204,-0.6590004449590765,-1.504221276228307,0.7996153408319794
5413 Spelman Dr SW #216,30331,33.689034,-84.56269,0,30000,49,6204,-0.6653520971064658,-1.504221276228307,0.7996153408319794
5576 Boreal Way SW #106,30331,33.68889,-84.56699,0,30000,49,6204,-0.6653520971064658,-1.504221276228307,0.7996153408319794
1-01 Marktrey Pl,30318,33.7906,-84.44,0,35000,403,11424,-0.6590004449590765,-0.6824356094108804,2.5050448682888655
Gary Rd NW,30318,33.767784,-84.46123,0,39800,403,11424,-0.6529028588975827,-0.6824356094108804,2.5050448682888655
1686 Woodland Ave SE,30315,33.70861,-84.35187,0,39900,361,6783,-0.652775825854635,-0.7799356037790497,0.9887807999119673
530 Baker Cir NW,30318,33.76989,-84.45833,0,39800,403,11424,-0.6529028588975827,-0.6824356094108804,2.5050448682888655
1686 Woodland Ave SE #12,30315,33.70861,-84.35187,0,39900,361,6783,-0.652775825854635,-0.7799356037790497,0.9887807999119673
220 Linkwood Rd NW,30318,33.76107,-84.48348,0,39800,403,11424,-0.6529028588975827,-0.6824356094108804,2.5050448682888655
2805 Macon Dr SE,30354,33.678333,-84.38958,3,34000,449,1621,-0.6602707753885544,-0.5756499012933618,-0.6976995105731756
Spring Ln NW,30314,33.7553,-84.43903,0,30000,939,4681,-0.6653520971064658,0.5618500330019459,0.30203504000499903
916 McDaniel St SW,30310,33.72989,-84.40136,0,30000,630,6915,-0.6653520971064658,-0.15547135413529914,1.0319066040545553
2889 Grand Ave SW #24,30315,33.675884,-84.40259,0,30000,361,6783,-0.6653520971064658,-0.7799356037790497,0.9887807999119673
1399 Oakland Dr SW,30310,33.716713,-84.427826,0,30000,630,6915,-0.6653520971064658,-0.15547135413529914,1.0319066040545553
1 Marktrey Pl,30318,33.7905,-84.44,0,35000,403,11424,-0.6590004449590765,-0.6824356094108804,2.5050448682888655
Meador Ave S,30315,33.7066,-84.3852,0,35000,361,6783,-0.6590004449590765,-0.7799356037790497,0.9887807999119673
2805 Macon Dr SW #13F,30354,33.6784,-84.3882,3,34000,449,1621,-0.6602707753885544,-0.5756499012933618,-0.6976995105731756
Barrett Dr NW #12,30318,33.7905,-84.44,0,31500,403,11424,-0.663446601462249,-0.6824356094108804,2.5050448682888655
Marktrey Pl,30318,33.7905,-84.44,0,35000,403,11424,-0.6590004449590765,-0.6824356094108804,2.5050448682888655
Ford Ave #N,30318,33.7905,-84.44,0,30000,403,11424,-0.6653520971064658,-0.6824356094108804,2.5050448682888655
1921 Whitehall Forest Ct SE,30316,33.684734,-84.314545,3,33500,365,2212,-0.6609059406032933,-0.7706498900297003,-0.5046135238438615
