Name,zip_code
Aladdin's Mediterranean Grill,30322
Ton Ton,30308
Poor Hendrix,30317
Atlanta Food Truck Park,30318
Miss Gogi,30360
Ok Yaki,30312
Katana Teppanyaki & Sushi,30326
Plant Based Pizzeria,30306
10th & Piedmont,30309
a mano,30312
DAS BBQ,30318
Madre + Mason,30308
Greens & Gravy,30310
Pacific Grill,30308
Divan,30305
Gino's NY Pizza Bar,30324
Pho Dai Viet Restaurant,30342
Baraka Shawarma,30303
Cafe Sunflower Buckhead,30309
Blackbird,30313
O-Ku Sushi,30318
Gypsy Kitchen,30305
Trader Vic's,30303
Top Spice,30329
Shake Shack,30305
Gather,30312
Yeah Burger,30318
Pho King,30309
Fellini's Pizza Buckhead,30305
Marlow's Tavern,30309
The Earl,30316
Cafe Agora,30305
Falafel King,30307
WIN Indonesian Grill & Gastrobar,30309
Botiwalla,30308
Max's Coal Oven Pizzeria,30313
Callie's Hot Little Biscuit,30306
Woody's  CheeseSteaks,30308
Atlanta Fish House & Grill,30311
Grindhouse Burgers,30303
Banshee,30316
Bangkok Thai Restaurant,30309
Babette's Cafe,30307
Argosy,30316
Tamsung Thai Street Eats,30305
The Little Farmhouse Cafe,30340
YEAH! BURGER,30306
El Super Pan,30306
Le Petit Marché,30317
Guac y Margys,30312
Shorty's,30329
Six Feet Under Pub & Fish House- Grant Park,30312
Mama's Cocina Latina,30324
Wagaya - Emory Village,30307
Tacos & Tequilas Mexican Grill,30308
Fellini's Pizza,30306
The Consulate,30309
Embilta Café & Restaurant Ethiopian Cuisine,30324
Wisteria,30307
Hungry Ghost,30312
DUA Vietnamese Noodle Soup,30309
The Varsity,30308
Polaris,30303
Hovan Mediterranean Gourmet,30319
Stoney River Steakhouse and Grill,30339
Biltong Bar,30305
Dantanna's,30326
Kaleidoscope Bistro & Pub,30319
The James Room,30312
Seasons 52,30305
Dua Vietnamese,30303
Sufi's,30309
Star Provisions,30318
Sweet Auburn BBQ,30306
Joy Cafe,30309
Quoc Huong Banh Mi Fast Food,30340
Paschal's,30313
The Original J.R. Crickets in Midtown Atlanta,30308
Kevin Rathbun Steak,30307
The Local Pizzaiolo - Toco Hill,30329
Donetto,30318
Delia's Chicken Sausage Stand,30316
Negril Village,30308
Poke City,30308
Truva Turkish Kitchen,30306
Oddbird,30318
Fritti,30307
Havana Sandwich Shop,30329
Bartaco Inman Park,30307
Verde Taqueria,30318
Maggiano's Little Italy,30326
Pho Kitchen,30309
The Wing Bar,30316
Monsoon Masala kitchen & sweets,30345
Chopt Creative Salad Co.,30329
Anh's Kitchen,30308
Red Pepper Taqueria,30305
Golden Eagle,30316
Six Feet Under Pub & Fish House- Westside,30318
Rose & Rye,30309
Beni’s Cubano - Downtown,30303
My Potato Factory,30310
10 Degrees South,30342
Pricci,30305
Suzy Siu's Baos,30307
Dulce Vegan Bakery and Cafe,30317
The Pig & The Pearl,30363
Sisters  - Atlanta,30303
Fado Irish Pub,30305
Anis Cafe & Bistro,30305
Rose and Crown Tavern,30339
Casa Vieja Restaurant,30340
Tin Can Oyster Bar Brookhaven,30319
Cape Dutch,30324
Buckhead Diner,30305
The Iberian Pig,30030
Nicola's Restaurant,30329
The Original Hot Dog Factory,30303
Avellino's,30319
MF Sushi Atlanta,30307
Boruboru sushi,30322
Yumbii,30309
Atmosphere Bistro,30324
Bantam + Biddy,30324
George's Restaurant & Bar,30306
Miller Union,30318
Copeland's,30339
Amélie's French Bakery & Café,30318
Zoës Kitchen,30329
Double Zero,30307
Fado Irish Pub,30309
McCray's Tavern - Midtown,30309
Pancake Social,30308
Ladybird Grove & Mess Hall,30312
Dave's Cosmic Subs,30307
Jai Ho Indian Kitchen & Bar,30324
The El Felix Battery,30339
Lucky's Burger & Brew,30307
Grand Lux Cafe,30326
Cafe Agora Midtown,30309
Trederick’s Seafood & Grill,30303
Egg Harbor Café,30309
Pearl Restaurant and Lounge,30313
The Sivas,30308
Nana G's Chicken and Waffles,30316
Burger Baby Atlanta,30329
Mr Everything Cafe,30314
P N Rice Cake House,30340
Sabor Dominicano Restaurant,30345
Bistro Niko,30326
Nan Thai Fine Dining,30309
Sublime Doughnuts,30329
Thaicoon & Sushi Bar,30306
Mambo Italian Street Food,30339
Jamrock Restaurant,30316
Lucky Thai,30329
Amara,30307
The Big Ketch Saltwater Grill - Buckhead,30305
El Bandido Mex Mex Grill,30307
Baraonda Italian Restaurant,30308
Cinnaholic,30307
Vinny's NY Pizza,30324
The Wing Shack ATL,30303
Moes and Joe's Tavern,30306
The Cheesecake Factory,30326
The BQE Restaurant & Lounge,30303
New Realm Brewing,30306
Harold's Chicken & Ice Bar,30312
The Red Snapper Seafood Restaurant,30324
Cousins Maine Lobster Restaurant,30326
Blue Ridge Grill,30327
The Melting Pot - Atlanta,30308
H&F Burger,30308
Jack's Pizza & Wings,30312
Pho King - Midtown,30309
Noodle,30309
Brklyn Kitchen & Lounge,30308
Escobar Restaurant and Tapas,30313
Spice House Cascade,30311
1KEPT Kitchen & Bar,30309
Taste of Tropical,30310
Uncle Julio's,30309
Tiny Lou's,30306
Fred's Meat & Bread,30307
Richards' Southern Fried,30307
Big Al's Gourmet Butter Made Burgers,30309
Yard House,30363
Dish Dive,30317
Lan Zhou,30341
Cafe Bombay,30329
Thumbs Up Diner,30318
Lloyd’s Restaurant and Lounge,30307
Bambinelli's,30345
Cafe Lucia,30309
Mali Restaurant,30306
Louisiana Bistreaux,30030
Babalu Tapas & Tacos,30309
Blue Lagoon Bar & Bistro,30324
Himalayan Spice,30329
The Halal Guys - Atlanta,30309
Restaurant Eugene,30309
Fontaine's Oyster House,30306
endive Publik house,30309
Brew and Bird,30033
Taziki's Mediterranean Cafe,30329
Nova Sushi Bar & Asian Bistro,30319
La Parrilla Mexican Restaurant,30318
Serpas True Food,30312
Tacos and Tequilas Mexican Grill,30342
Julianna's Crepes,30307
K BBQ Taco,30030
Lavash Mediterranean Grill,30305
Houston's Restaurant,30309
Highland Bakery,30312
Café 458 Brunch,30312
gusto!,30306
Tex's Tacos,30312
SOHO Restaurant,30339
Georgia Beer Garden,30312
Panahar - Bangladeshi Place,30329
Pig-n-Chik,30329
Mediterranean Bakery & Sandwich,30341
The Sun Dial Restaurant,30303
Cuts Steakhouse,30303
Biltong Bar,30308
Cultivate Food + Coffee,30318
Big Easy Grille,30318
Eclectic Bistro & Bar,30309
Allora,30363
Savage Pizza,30307
BullGogi,30033
Bell Street Burritos,30309
Agatha's A Taste Of Mystery,30303
Righteous Room,30306
Buteco,30315
Sokome,30303
Kabob Land,30305
Stationside,30318
Nancy's Pizza,30308
Grindhouse Killer Burgers,30316
Spoon Eastside,30316
Kelz Kitchen,30303
Rise -n- Dine,30307
Muchacho,30316
Soul Vegetarian Restaurant,30310
KR SteakBar,30305
OK Cafe,30327
CinéBistro at Town Brookhaven,30319
K & K Soul Food,30318
White Oak Kitchen & Cocktails,30303
Petite Violette,30329
Aria,30305
CO,30306
Ria's Bluebird,30312
Sushi Itto,30329
Taco Mac,30324
ChiChop,30360
Cafe Momo,30303
Chinese Buddha,30309
Tin Lizzy's Cantina,30312
Circle Poke,30318
Atlanta Braves All Star Grill,30303
Pappadeaux Seafood Kitchen,30067
Anna's BBQ,30317
No. 246,30030
Festivals Jerk Chicken Grill,30316
Piu Bello Pizzeria Restaurant,30305
Yalla,30307
4 Rivers Smokehouse,30318
Pita Mediterranean Street Food,30309
Babylon Cafe,30324
Doc Chey's Noodle House,30306
Hampton + Hudson,30307
Apres Diem,30308
Del Frisco's Grille,30326
El Potro Mexican Restaurant,30329
The Tavern At Phipps,30326
Highland Tap,30306
The Greater Good BBQ,30342
New York Sandwich Shop,30310
Smoke Ring,30313
Tin Lizzy's Cantina,30309
Vegan Dream Doughnuts,30310
Kitchen Six,30033
Yoi Yoi Japanese Steakhouse & Sushi,30318
Nina & Rafi,30312
Harry & Sons,30306
640 West Community Cafe,30310
Touch,30318
NaanStop,30363
Pure Taqueria,30319
Poke City,30309
Thumbs Up Diner,30312
The Highlander,30308
Gu's Dumplings,30307
Ecco Buckhead,30326
Taverna Plaka,30324
NaanStop,30305
Healthfull Essence,30310
Salad Express,30324
Ms. Icey's Kitchen & Bar,30033
NFA Burger,30341
Stats,30313
9th Ave Street Food,30310
AIX,30318
Krog Bar,30307
Irby's Tavern,30305
DaVinci's Pizzeria,30309
Ramen Station,30312
Zunzi's Takeout & Catering,30318
Atlantic Grill at Atlantic Station,30363
Blue India,30309
Houston's Restaurant,30327
Bezoria,30339
Soul Vegetarian Restaurant,30306
Bahama Bay Conch Bar and Grill,30312
Shawarma Non-Stop,30309
